Time,Value
86871,268
86921,268
86971,267
87022,268
87072,269
87123,269
87174,267
87224,271
87275,268
87325,270
87376,268
87427,269
87478,268
87528,269
87578,268
87629,267
87680,267
87731,269
87781,268
87831,268
87882,270
87932,268
87984,268
88034,270
88085,267
88135,270
88185,269
88237,267
88287,269
88338,269
88388,265
88438,268
88489,269
88540,269
88591,268
88641,268
88692,267
88742,267
88793,268
88844,268
88894,269
88945,268
88995,268
89046,268
89097,267
89147,268
89198,270
89248,267
89299,267
89350,269
89400,269
89451,269
89501,267
89552,268
89603,268
89653,267
89704,267
89754,267
89805,270
89856,267
89907,268
89957,267
90007,267
90058,270
90108,269
90160,268
90210,269
90260,270
90311,268
90361,270
90413,268
90463,268
90513,268
90564,269
90614,270
90665,268
90716,266
90767,270
90817,269
90867,268
90918,269
90969,269
91020,268
91070,269
91121,269
91171,271
91222,269
91273,267
91323,268
91374,268
91424,268
91474,268
91526,269
91576,268
91627,268
91677,268
91728,268
91779,268
91829,268
91880,270
91930,269
91981,268
92032,266
92082,268
92133,268
92183,266
92234,267
92284,268
92336,267
92386,268
92436,268
92487,269
92537,269
92589,269
92639,270
92689,268
92740,266
92790,269
92841,268
92892,267
92943,269
92993,268
93043,267
93094,268
93145,268
93196,267
93246,268
93296,268
93347,267
93398,270
93449,268
93499,266
93550,269
93600,267
93650,268
93702,267
93752,267
93803,269
93853,268
93903,266
93955,268
94005,267
94056,267
94106,268
94157,268
94208,268
94258,267
94309,269
94359,267
94410,269
94460,268
94511,268
94562,267
94612,269
94663,268
94713,268
94765,269
94815,269
94865,269
94916,267
94966,267
95017,268
95068,267
95118,268
95169,267
95219,268
95270,267
95321,268
95372,269
95422,268
95472,269
95523,269
95574,268
95625,268
95675,268
95725,268
95776,268
95826,268
95878,268
95928,267
95979,269
96029,269
96079,268
96131,270
96181,269
96232,269
96282,270
96332,268
96384,268
96434,269
96485,268
96535,266
96586,269
96636,267
96687,267
96738,268
96788,268
96839,265
96889,268
96940,269
96991,269
97041,267
97092,270
97142,268
97193,269
97244,268
97294,267
97345,268
97395,269
97446,267
97497,270
97547,270
97598,270
97648,268
97699,268
97750,270
97801,268
97851,268
97901,269
97952,268
98002,267
98054,269
98104,267
98154,269
98205,270
98255,268
98307,268
98357,268
98408,266
98458,267
98508,268
98560,268
98610,269
98661,269
98711,267
98761,269
98812,268
98863,266
98914,270
98964,269
99015,267
99065,271
99116,268
99167,267
99217,269
99268,267
99318,268
99368,268
99420,269
99470,269
99521,270
99571,268
99622,270
99673,268
99723,268
99774,269
99824,270
99875,268
99926,270
99976,270
100027,266
100077,268
100128,269
100178,267
100230,269
100280,270
100331,270
100381,268
100432,268
100483,270
100534,268
100584,268
100634,270
100685,268
100736,266
100787,268
100837,269
100888,269
100938,269
100989,271
101040,270
101091,267
101141,267
101192,269
101242,269
101294,268
101344,268
101394,268
101445,268
101495,268
101547,266
101597,268
101648,267
101698,268
101749,268
101799,268
101851,267
101901,267
101952,269
102002,267
102052,269
102104,268
102154,268
102205,268
102255,269
102306,268
102356,271
102408,267
102458,269
102509,268
102559,268
102610,270
102661,269
102712,268
102762,268
102812,270
102863,268
102914,269
102965,268
103015,268
103066,269
103116,268
103168,268
103218,268
103269,268
103319,268
103370,267
103420,265
103472,268
103522,269
103572,268
103623,268
103673,269
103725,268
103775,268
103826,268
103876,269
103927,267
103977,270
104029,268
104079,267
104130,269
104180,269
104230,268
104282,267
104332,269
104383,268
104433,268
104484,267
104535,268
104586,267
104636,270
104687,269
104737,269
104788,269
104839,268
104890,268
104940,266
104990,269
105041,269
105092,267
105143,268
105193,268
105244,270
105294,269
105346,269
105396,268
105447,266
105497,270
105548,269
105598,268
105650,267
105700,267
105750,267
105801,267
105851,269
105903,269
105953,269
106004,268
106054,269
106105,267
106156,268
106207,268
106257,269
106308,267
106358,268
106408,269
106460,268
106510,268
106561,266
106611,269
106662,269
106713,269
106764,267
106814,267
106865,269
106915,267
106967,269
107017,265
107068,267
107118,268
107168,266
107219,268
107270,269
107321,265
107371,269
107422,268
107472,269
107524,268
107574,267
107625,269
107675,268
107726,269
107777,268
107828,266
107878,269
107928,271
107979,268
108029,267
108081,269
108131,266
108182,269
108232,269
108283,268
108334,265
108385,268
108435,268
108486,268
108536,269
108587,266
108638,269
108688,270
108739,268
108789,268
108840,267
108891,269
108942,269
108992,267
109043,266
109093,267
109145,269
109195,268
109246,269
109296,269
109346,267
109398,270
109448,269
109499,266
109549,269
109600,269
109650,268
109702,268
109752,268
109803,268
109853,268
109904,269
109955,269
110006,269
110056,268
110106,267
110157,269
110208,268
110259,269
110309,268
110360,263
110410,268
110461,268
110512,269
110563,268
110613,271
110664,268
110714,268
110765,266
110816,268
110866,267
110917,269
110967,269
111019,265
111069,268
111120,267
111170,268
111221,268
111271,269
111323,268
111373,270
111424,269
111474,269
111524,270
111576,269
111626,269
111677,268
111727,267
111778,268
111828,268
111880,269
111930,269
111981,269
112031,269
112082,269
112133,266
112184,267
112234,267
112284,268
112335,268
112386,268
112437,268
112487,269
112538,269
112588,269
112640,269
112690,270
112741,266
112791,268
112842,268
112892,269
112943,269
112994,269
113044,268
113095,266
113145,267
113197,268
113247,268
113298,269
113348,268
113399,266
113449,268
113501,268
113551,270
113602,268
113652,268
113702,270
113754,266
113804,268
113855,269
113905,265
113956,269
114007,269
114058,267
114108,269
114159,268
114209,267
114260,267
114311,270
114362,269
114412,270
114462,268
114513,269
114564,270
114615,268
114665,268
114716,269
114766,267
114818,269
114868,267
114919,266
114969,269
115020,269
115070,267
115121,268
115172,268
115222,268
115273,267
115323,269
115375,270
115425,267
115476,269
115526,269
115577,268
115628,266
115679,268
115729,269
115780,268
115830,268
115880,269
115932,269
115982,268
116033,270
116083,270
116134,266
116185,269
116236,267
116286,269
116337,269
116387,266
116439,267
116489,268
116539,269
116590,268
116640,268
116691,269
116742,268
116793,269
116843,268
116894,268
116944,269
116996,269
117046,271
117097,268
117147,267
117198,269
117249,269
117299,268
117350,269
117400,268
117451,269
117501,268
117553,270
117603,269
117654,266
117704,268
117755,268
117806,269
117857,268
117907,269
117958,267
118008,269
118059,268
118110,268
118160,266
118211,269
118261,267
118312,267
118363,269
118414,269
118464,268
118515,268
118565,269
118617,269
118667,267
118717,268
118768,269
118818,268
118870,268
118920,269
118971,270
119021,268
119072,268
119122,269
119174,268
119224,269
119275,269
119325,268
119376,267
119427,269
119477,269
119528,267
119578,268
119629,269
119680,268
119731,268
119781,267
119832,269
119882,268
119933,269
119984,268
120035,267
120085,268
120136,271
120186,267
120237,267
120288,268
120338,269
120389,269
120439,268
120491,268
120541,266
120592,269
120642,267
120693,267
120743,268
120795,267
120845,268
120895,269
120946,270
120996,267
121048,267
121098,267
121149,267
121199,269
121250,269
121300,266
121352,268
121402,268
121453,267
121503,269
121554,267
121605,269
121655,268
121706,267
121756,269
121807,269
121858,267
121909,268
121959,269
122010,267
122060,266
122112,268
122162,269
122213,267
122263,269
122314,268
122364,269
122415,267
122466,267
122516,268
122567,269
122617,270
122669,271
122719,269
122770,271
122820,268
122871,269
122921,269
122973,267
123023,267
123073,267
123124,268
123174,268
123226,267
123276,269
123327,269
123377,269
123428,267
123479,267
123530,268
123580,268
123631,269
123681,271
123732,268
123783,269
123833,269
123884,268
123934,269
123985,269
124036,269
124087,266
124137,268
124188,269
124238,267
124290,269
124340,268
124391,267
124441,265
124492,269
124542,267
124593,268
124644,269
124694,268
124745,266
124795,267
124847,269
124897,270
124948,265
124998,269
125049,269
125100,267
125151,268
125201,268
125251,269
125302,270
125352,269
125404,268
125454,266
125505,268
125555,268
125606,267
125657,267
125708,268
125758,270
125809,268
125859,269
125911,268
125961,267
126011,266
126062,269
126112,268
126163,270
126214,268
126265,269
